NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
383.0,COMMONWEALTH AVENUE,SPRINGFIELD,MA,1108,
576.0,MAIN STREET,STONEHAM,MA,2180,
9.0,COREY COLONIAL,AGAWAM,MA,1001,
31.0,FOURTH AVENUE,LOWELL,MA,1854,1.0
18.0,ROOSEVELT ROAD,WAKEFIELD,MA,1880,
21.0,WALNUT STREET,BRIDGEWATER,MA,2324,
177.0,YARMOUTH STREET,LONGMEADOW,MA,01106,
273.0,ROGERS STREET,LOWELL,MA,1852,
310.0,ARGILLA ROAD,IPSWICH,MA,1938,
104.0,THACHER STREET,MILTON,MA,2186,
15.0,CENTRAL STREET,SALEM,MA,1970,
1025.0,HANCOCK STREET,QUINCY,MA,2169,
838.0,WASHINGTON STREET,DORCHESTER,MA,2124,3.0
196.0,LOCUST STREET,LYNN,MA,1904,207.0
544.0,MASSACHUSETTS AVENUE,BOSTON,MA,2118,
55.0,HUNT DRIVE,STOUGHTON,MA,2072,
41.0,BRIMBAL AVENUE,BEVERLY,MA,1915,
264.0,NORTH MAIN ROAD,OTIS,MA,1253,
1423.0,COMMONWEALTH AVENUE,BRIGHTON,MA,02134,
9.0,HANCOCK STREET,BOSTON,MA,2114,
1520.0,SOUTH STREET,BARRE,MA,1005,
265.0,TIFFANY STREET,ATTLEBORO,MA,2703,
15.0,GORHAM AVENUE,BROOKLINE,MA,2445,2.0
575.0,BRIDGE ROAD,FLORENCE,MA,1062,
131.0,MILL STREET,HOPEDALE,MA,1747,
20.0,CAPTAIN CURTIS WAY,ORLEANS,MA,2653,
380.0,LOWELL STREET,WAKEFIELD,MA,1880,
338.0,SUNSET HILL,FALL RIVER,MA,2724,
184.0,SAVIN HILL AVENUE,DORCHESTER,MA,2125,1.0
20.0,STANDISH ROAD,MELROSE,MA,02176,
101.0,SUNSET DRIVE,RAYNHAM,MA,2767,
19.0,BRIARWOOD LANE,BURLINGTON,MA,1803,
56.0,LAUREL STREET,GREENFIELD,MA,1301,
12.0,SUMMER HEIGHTS DRIVE,FRANKLIN,MA,2038,
29.0,ROOSEVELT STREET,NEW BEDFORD,MA,2744,1.0
373.0,MAIN STREET,GROTON,MA,1450,
56.0,SPRINGFIELD STREET,LAWRENCE,MA,1843,
80.0,CLAY STREET,QUINCY,MA,2170,913.0
42.0,PENINSULA PLACE,DORCHESTER,MA,2125,
,LINCOLN STREET,READING,MA,1867,
497.0,POPLAR STREET,ROSLINDALE,MA,2131,3.0
134.0,CONSTITUTION AVENUE,REVERE,MA,2151,
4.0,NORTH BOURNES POND ROAD,FALMOUTH,MA,02536,
40.0,WOODBINE ROAD,MEDFORD,MA,2155,2.0
4.0,ABBOTSFORD STREET,ROXBURY,MA,2121,
17.0,MARION STREET,CHICOPEE,MA,1013,
6.0,MILE BROOK ROAD,DUXBURY,MA,2332,202.0
41.0,WASHINGTON STREET,WESTFIELD,MA,1085,
189.0,TRENTON STREET,EAST BOSTON,MA,2128,3.0
75.0,MYRTLE STREET,SOMERVILLE,MA,2145,209.0
66.0,SAINT ROSE STREET,JAMAICA PLAIN,MA,2130,2.0
27.0,JUNIPER STREET,WENHAM,MA,1984,
34.0,RED BERRY LANE,PEABODY,MA,1960,
,MAIN STREET,AMHERST,MA,1002,
9.0,FLINT ROAD,TYNGSBOROUGH,MA,1879,
20.0,CRABAPPLE LANE,NORTHAMPTON,MA,1060,
109.0,KENT ROAD,SPRINGFIELD,MA,1129,
26.0,ARDMORE STREET,FALMOUTH,MA,02536,
2.0,HOLLOW TREE LANE,METHUEN,MA,1844,
300.0,BUCK ISLAND ROAD,YARMOUTH,MA,2673,
53.0,MAIN STREET,MEDWAY,MA,2053,
74.0,MAREHAVEN DRIVE,SEEKONK,MA,2771,
767.0,MAIN ROAD,GRANVILLE,MA,1034,
74.0,MOUNT VERNON STREET,BOSTON,MA,2108,
11.0,PINECREST DRIVE,LENOX,MA,1240,
178.0,WILLARD ROAD,ASHBURNHAM,MA,1430,
4463.0,WASHINGTON STREET,ROSLINDALE,MA,2131,
443.0,SOUTH ROAD,CHILMARK,MA,02535,
19.0,GAY STREET,ORANGE,MA,1364,
44.0,SOUTH LINCOLN STREET,NATICK,MA,2482,
41.0,MONTROSE STREET,EVERETT,MA,2149,
219.0,NORTH LOWELL STREET,METHUEN,MA,1844,
229.0,NEWLAND STREET,MALDEN,MA,02148,
49.0,WEST STREET,NEWTON,MA,2458,
1760.0,WESTOVER ROAD,CHICOPEE,MA,1020,33.0
601.0,JEFFERSON STREET,FALL RIVER,MA,2721,
896.0,METHUEN STREET,DRACUT,MA,1826,
16.0,RAVENS BLUFF,ANDOVER,MA,1810,
1821.0,MIDDLESEX STREET,LOWELL,MA,1851,3.0
84.0,COCASSET STREET,FOXBOROUGH,MA,2035,
25.0,RURAL AVENUE,MEDFORD,MA,02155,
10.0,ROHMERS ROAD,ORLEANS,MA,2653,
13.0,FLINT STREET,SOMERVILLE,MA,2145,
12.0,SODEN STREET,CAMBRIDGE,MA,2139,
4.0,KITTLER AVENUE,ADAMS,MA,1220,
88.0,WOODLAWN STREET,CHICOPEE,MA,1020,
68.0,COMMONWEALTH AVENUE,CONCORD,MA,1742,118.0
18.0,NECK HILL ROAD,MENDON,MA,1756,
215.0,MAVERICK STREET,EAST BOSTON,MA,2128,
49.0,CAMELOT DRIVE,WORCESTER,MA,1602,66.0
285.0,WASHINGTON STREET,HAVERHILL,MA,1832,1.0
790.0,WILLARD STREET,QUINCY,MA,2169,512.0
151.0,WALKER ROAD,SHIRLEY,MA,1464,
127.0,WINTER STREET,FALL RIVER,MA,2720,2.0
319.0,SHREWSBURY STREET,WORCESTER,MA,1604,
550.0,NEWTOWN ROAD,LITTLETON,MA,1460,450.0
293.0,SECOND AVENUE,WALTHAM,MA,2451,
100.0,WASHINGTON STREET,QUINCY,MA,2169,18.0
100.0,CUMMINGS CENTER,BEVERLY,MA,1915,
9.0,MAPLE DRIVE,CARVER,MA,2330,
27.0,FRENCH DRIVE,SEEKONK,MA,2771,
33.0,LODGEN COURT,MALDEN,MA,02148,
635.0,MAIN STREET,WINCHESTER,MA,01890,
17.0,ABBOTT STREET,PITTSFIELD,MA,1201,
724.0,BELMONT STREET,BROCKTON,MA,2301,
51.0,MYRTLE STREET,MALDEN,MA,02148,3.0
65.0,WESTERN AVENUE,GLOUCESTER,MA,1930,
28.0,DAVIS ROAD,MILLBURY,MA,1527,
185.0,PLEASANT STREET,ROCKLAND,MA,2370,
715.0,EAST SEVENTH STREET,SOUTH BOSTON,MA,2127,
50.0,SUNSET LANE,PAXTON,MA,1612,
43.0,CEDAR STREET,LOWELL,MA,1852,
128.0,RIVER STREET,HAVERHILL,MA,1832,2.0
78.0,GREENVILLE DRIVE,SANDWICH,MA,2644,
41.0,WEST CENTER ROAD,WEST STOCKBRIDGE,MA,1266,
225.0,HOLBROOK AVENUE,WELLFLEET,MA,2667,
19.0,SOUTH MAPLE AVENUE,ASHBURNHAM,MA,1430,
105.0,BELAIR STREET,BROCKTON,MA,2301,217.0
34.0,COUNTY STREET,FOXBOROUGH,MA,2035,
3.0,GATEHOUSE LANE,FRANKLIN,MA,2038,324.0
190.0,NORTH SHORE ROAD,REVERE,MA,02151,306.0
12.0,DAVIS STREET,REVERE,MA,2151,
105.0,GRANITE STREET,ROCKPORT,MA,1966,3.0
125.0,CAUSEWAY STREET,BOSTON,MA,02114,
645.0,COUNTY STREET,TAUNTON,MA,2780,1.0
49.0,ROSEMONT STREET,DORCHESTER,MA,2122,3.0
197.0,PATRICK ROAD,TEWKSBURY,MA,1876,
18.0,FRANCES STREET,WOBURN,MA,1801,
1035.0,PECKS ROAD,PITTSFIELD,MA,1201,
19.0,RAILROAD AVENUE,WESTFIELD,MA,1085,
23.0,REGENT STREET,CAMBRIDGE,MA,2140,
169.0,WASHINGTON STREET,NEWTON,MA,2458,
